Starting Time: 4/23/2012 11:10 AM	 	 	 	 	 	 
Seconds	Thermocouple 1	Thermocouple 2	Thermocouple 3	Thermocouple 4	MainPres	PrepPres
19.173097	NaN	NaN	NaN	NaN	1.562172E-10	4.431428E-10
19.251101	NaN	NaN	NaN	NaN	1.562172E-10	4.431428E-10
19.345107	NaN	NaN	NaN	NaN	1.573964E-10	4.534973E-10
19.473114	NaN	NaN	NaN	NaN	1.573964E-10	4.534973E-10
19.613122	NaN	NaN	NaN	NaN	1.573964E-10	4.534973E-10
19.696126	NaN	NaN	NaN	NaN	1.573964E-10	4.534973E-10
19.778131	NaN	NaN	NaN	NaN	1.573964E-10	4.534973E-10
19.851136	NaN	NaN	NaN	NaN	1.578084E-10	4.472197E-10
19.950141	NaN	NaN	NaN	NaN	1.578084E-10	4.472197E-10
20.016145	NaN	NaN	NaN	NaN	1.578084E-10	4.472197E-10
20.123151	NaN	NaN	NaN	NaN	1.578084E-10	4.472197E-10
20.197155	NaN	NaN	NaN	NaN	1.578084E-10	4.472197E-10
20.286160	NaN	NaN	NaN	NaN	1.578084E-10	4.472197E-10
20.402167	NaN	NaN	NaN	NaN	1.537879E-10	4.470152E-10
20.478171	NaN	NaN	NaN	NaN	1.537879E-10	4.470152E-10
20.623179	NaN	NaN	NaN	NaN	1.537879E-10	4.470152E-10
20.706184	NaN	NaN	NaN	NaN	1.537879E-10	4.470152E-10
20.788189	NaN	NaN	NaN	NaN	1.537879E-10	4.470152E-10
20.926197	NaN	NaN	NaN	NaN	1.575314E-10	4.470152E-10
21.015202	NaN	NaN	NaN	NaN	1.575314E-10	4.470152E-10
21.156210	NaN	NaN	NaN	NaN	1.575314E-10	4.470152E-10
21.232214	NaN	NaN	NaN	NaN	1.575314E-10	4.470152E-10
21.337221	NaN	NaN	NaN	NaN	1.556064E-10	4.497660E-10
21.452227	NaN	NaN	NaN	NaN	1.556064E-10	4.497660E-10
21.517231	NaN	NaN	NaN	NaN	1.556064E-10	4.497660E-10
21.625237	NaN	NaN	NaN	NaN	1.556064E-10	4.497660E-10
21.691241	NaN	NaN	NaN	NaN	1.556064E-10	4.497660E-10
21.756245	NaN	NaN	NaN	NaN	1.556064E-10	4.497660E-10
21.856250	NaN	NaN	NaN	NaN	1.556064E-10	4.480450E-10
21.951256	NaN	NaN	NaN	NaN	1.556064E-10	4.480450E-10
22.068262	NaN	NaN	NaN	NaN	1.556064E-10	4.480450E-10
22.154267	NaN	NaN	NaN	NaN	1.556064E-10	4.480450E-10
22.237272	NaN	NaN	NaN	NaN	1.556064E-10	4.480450E-10
22.341278	NaN	NaN	NaN	NaN	1.556064E-10	4.487292E-10
22.443284	NaN	NaN	NaN	NaN	1.556064E-10	4.487292E-10
22.522288	NaN	NaN	NaN	NaN	1.556064E-10	4.487292E-10
22.641295	NaN	NaN	NaN	NaN	1.556064E-10	4.487292E-10
22.724300	NaN	NaN	NaN	NaN	1.556064E-10	4.487292E-10
22.840306	NaN	NaN	NaN	NaN	1.586608E-10	4.514518E-10
22.944313	NaN	NaN	NaN	NaN	1.586608E-10	4.514518E-10
23.032318	NaN	NaN	NaN	NaN	1.586608E-10	4.514518E-10
23.131323	NaN	NaN	NaN	NaN	1.586608E-10	4.514518E-10
23.205328	NaN	NaN	NaN	NaN	1.586608E-10	4.514518E-10
23.270331	NaN	NaN	NaN	NaN	1.586608E-10	4.514518E-10
23.365336	NaN	NaN	NaN	NaN	1.528076E-10	4.519949E-10
23.446341	NaN	NaN	NaN	NaN	1.528076E-10	4.519949E-10
23.518345	NaN	NaN	NaN	NaN	1.528076E-10	4.519949E-10
23.632352	NaN	NaN	NaN	NaN	1.528076E-10	4.519949E-10
23.704356	NaN	NaN	NaN	NaN	1.528076E-10	4.519949E-10
23.787361	NaN	NaN	NaN	NaN	1.528076E-10	4.519949E-10
23.900367	NaN	NaN	NaN	NaN	1.561178E-10	4.519949E-10
23.988372	NaN	NaN	NaN	NaN	1.561178E-10	4.519949E-10
24.128380	NaN	NaN	NaN	NaN	1.561178E-10	4.519949E-10
24.192384	NaN	NaN	NaN	NaN	1.561178E-10	4.519949E-10
24.274388	NaN	NaN	NaN	NaN	1.561178E-10	4.519949E-10
24.363393	NaN	NaN	NaN	NaN	1.498526E-10	4.560436E-10
24.435398	NaN	NaN	NaN	NaN	1.498526E-10	4.560436E-10
24.511402	NaN	NaN	NaN	NaN	1.498526E-10	4.560436E-10
